No.,Company Name,Phone,Email,Website,Address / Location,Region (VIC),Skip Bin Hire,Rearlift / Wheelie Bins,Garden Bags / Skip Bags,Service Area,Notes / Source
11,Instant Bin Hire,0409 254 911,tonybayley@bigpond.com,https://instantbinhire.com.au/,"435 Nepean Hwy, Frankston VIC 3199",Frankston / Mornington Peninsula,Yes,Check with company,Check with company,"Frankston, Mornington, Cranbourne",Company contact page
12,Choice Bins,03 9005 7675,info@choicebins.com.au,https://choicebins.com.au/,"5 Hall Street, Braeside VIC 3195",Melbourne metro / surrounds,Yes,Check with company,Green waste accepted in skips,Melbourne metro,Email from company contact page | was: Company website; email not listed
13,BINGO Industries,1300 424 646,enquiries@bingoindustries.com.au,https://www.bingoindustries.com.au/,"372-374 Dynon Rd, West Melbourne VIC 3003",Melbourne metro / surrounds,Yes,Yes (commercial),Check with company,Melbourne & surrounds,Company contact page; CoM waste providers list
14,J.J. Richards & Sons (JJ's Waste),03 9794 5722,operations.melbourne@jjswaste.com.au,https://jjrichards.com.au/,"73 Waterview Close, Dandenong VIC 3175",Melbourne metro / surrounds,Yes (RORO / skip truck),Yes,Check with company,"Melbourne (Dandenong, Somerton etc.)",Company contact page; CoM list
15,Ben's Waste Management,0418 369 869,info@benswaste.com,https://www.benswastemanagement.com.au/,"62 Colarco Drive, Derrimut VIC 3026",Melbourne metro / surrounds,Yes,Check with company,Check with company,Melbourne,Company website
16,Secure Waste Solutions,1300 440 699,info@securewastesolutions.com.au,https://www.securewastesolutions.com.au/,"Suite 14, Level 2/799-807 Springvale Rd, Mulgrave VIC 3170",Melbourne metro / surrounds,Yes,Check with company,Check with company,Melbourne,Company website
17,PJ's Waste,0438 142 918 / 0419 158 590,info@pjswaste.com.au,https://www.pjswaste.com.au/,"25 Westside Dr, Laverton North VIC 3026",Melbourne metro / surrounds,Yes,Check with company,Check with company,~60% of Melbourne,Company contact page
18,AtoZ Waste Management,0419 786 061,info@atozwastemanagement.com.au,https://atozwastemanagement.com.au/,"1 Bolinda Road, Campbellfield VIC 3061",Melbourne metro / surrounds,Yes,Check with company,Check with company,Melbourne,Company contact page
19,ASAP Bin Hire,0452 271 006,infor@asapbinhire.com.au,https://asapbinhire.com.au/,"5/199 Liverpool Road, Kilsyth VIC 3137; also Dandenong South",Melbourne metro / surrounds,Yes,Check with company,Check with company,East & SE Melbourne,Company contact page (email as published)
20,Fieldmans Waste Management,03 9768 3967,admin@fieldmanswaste.com.au,https://fieldmanswaste.com.au/,"33-37 Granito Crt, Dandenong South VIC 3175",Melbourne metro / surrounds,Yes,Check with company,Garden waste disposal offered,Melbourne,Company contact page
21,Eastern Recycling (ER Bin Hire),03 8872 7879,Not found publicly (call office),https://www.easternrecycling.com.au/,"22 Palmerston Road West, Ringwood VIC 3134",Melbourne metro / surrounds,Yes,Check with company,Check with company,~15km radius of Ringwood,No public email found after deep search; phone/office only (03 8872 7879)
22,Premier Waste Management,1300 219 001,Not published (online form / phone),https://premierwaste.com.au/,"10-12 Graham Daff Boulevard, Braeside VIC 3195; also Broadmeadows",Melbourne metro / surrounds,Yes (hooklift),Yes,Organics / food organics,Melbourne & Brisbane,No public general email found; use phone 1300 219 001 or online form
23,Simplex Waste Solutions,1300 052 334,enquiries@simplexwastesolutions.com,https://www.simplexwastesolutions.com.au/,"1/72-74 Lambeck Drive, Tullamarine VIC 3043",Melbourne metro / surrounds,Yes,Yes,Check with company,Melbourne (also Sydney/Brisbane/Adelaide),Also admin@simplexwastesolutions.com; CoM list
24,Rhino Bins,03 9580 4842,enquiries@rhinobins.com.au,https://www.rhinobins.com.au/,"24-30 Fonceca St, Mordialloc VIC 3195",Melbourne metro / surrounds,Yes,Yes (240L / 660L commercial),Check with company,All Melbourne (conditions apply),Company website; CoM list
25,Haulaway Services,1300 660 838,info@haulaway.com.au,https://haulaway.com.au/,Melbourne (Williamstown North / Dandenong South),Melbourne metro / surrounds,Yes,Yes (commercial),Check with company,Melbourne,LinkedIn / CoM list
26,Speedie Waste & Recycle,03 9305 2265,sales@speediewaste.com.au,https://www.speediewaste.com.au/,"1505 Hume Highway, Campbellfield VIC 3061",Melbourne metro / surrounds,Yes,Yes,Organics available,Melbourne & Geelong,Also bookings@speediewaste.com.au; CoM list
27,Bin Boy Environmental,1800 246 269,info@binboy.com.au,https://www.binboy.com.au/,"7 Patch Circuit, Laverton North VIC 3026",Melbourne metro / surrounds,Check with company,Yes (collections),Check with company,Metro Melbourne & beyond,Also service@binboy.com.au; CoM list
28,Happy Sacks,03 9749 7700 / 0425 741 427,happysacks@live.com.au,https://www.happysacks.com.au/,"Western suburbs, Melbourne VIC",Melbourne metro / surrounds,Yes,Yes (wheelie bins),Garden tidy / green focus,Western suburbs Melbourne,Company website; CoM list
29,Inner City Waste,03 9824 1975,Not found publicly (call),http://innercitywaste.com.au/,Inner city / CBD Melbourne,Melbourne metro / surrounds,Yes,Check with company,Check with company,Inner city & CBD,No public email found; phone only 03 9824 1975
30,KS Environmental,03 9551 7833,sales@ksenvironmental.com.au,https://ksenvironmental.com.au/,"544 Boundary Rd, Dingley VIC 3172",Melbourne metro / surrounds,Commercial waste services,Yes (commercial),Organics (commercial),Melbourne Metro (commercial only),Company contact page; CoM list
31,M Tucker & Sons,03 9736 3439,mail@mtuckerandsons.com.au,https://mtuckerandsons.com.au/,"4 Clancys Road, Mount Evelyn VIC 3796",Outer East / Yarra Ranges,Yes,Check with company,Check with company,Outer east Melbourne / surrounds,Company contact page
32,CSC Waste & Recycling,1300 499 927,info@cscwaste.com.au,https://cscwaste.com.au/,"28 Sunline Drive, Truganina VIC 3029",Melbourne metro / surrounds,Yes,Yes,Check with company,Melbourne metro,Also sales@cscwaste.com.au; CoM list
33,Elite Waste & Recycling,03 5998 7227,sales@eliterecycling.com.au,https://elitewasteandrecycling.com.au/,"22-30 Remington Drive, Dandenong South VIC 3175",Melbourne metro / surrounds,Check with company,Yes (scheduled collections),Check with company,East & SE Melbourne,Company contact page; CoM list (Elite Recycling)
34,Waste Wise Environmental,1300 550 408,contact@wastewise.com.au,https://wastewise.com.au/,"152 Mahoneys Road, Thomastown VIC 3074",Melbourne metro / surrounds,Check with company,Yes (commercial),Organics available,Melbourne,Also sales@wastewise.com.au on older site page | was: Company contact page; CoM list
35,Blue Croc Rubbish (CROC BAGS),1300 71 81 92,info@bluecrocgroup.com.au,https://bluecrocrubbishremoval.com.au/,Mornington Peninsula / Melbourne metro,Mornington Peninsula / Melbourne,Yes (bags alternative),No / N/A,Yes – garden waste bags,Melbourne metro,Croc Bags garden & general; company about page
36,Aussie Skip Bags,1300 586 548,info@aussieskipbags.com.au,https://aussieskipbags.com.au/,Services Melbourne metro (bags via Bunnings),Melbourne metro / surrounds,Skip bag alternative,No / N/A,Yes – garden & general skip bags,All Melbourne metro,Also operations@aussieskipbags.com.au | was: Also collects Croc Bags; company site
37,Total Waste Solutions,03 9555 1970,totalwaste@y7mail.com,https://www.totalwastesolutions.com.au/,"PO BOX 355, Bentleigh VIC 3204",Melbourne metro / surrounds,Yes,Yes (MGBs),Check with company,Bayside & Melbourne,Company website; CoM list
38,Wanless,1300 926 537,sales@wanless.com.au,https://wanless.com.au/,National operator (services Melbourne),Melbourne metro / surrounds,Yes,Yes,Organics available,Australia incl. Melbourne,Company contact page
39,Cleanaway Skips,13 13 39,Not published (online enquiry form),https://www.cleanaway.com.au/,"Melbourne HO: Level 4, 441 St Kilda Road, Melbourne VIC 3004",Melbourne metro / surrounds,Yes,Yes,Organics available,Melbourne & Australia,No public general email; use 13 13 39 or online enquiry form
40,Veolia Environmental Services,13 29 55,cx.service@anz.veolia.com,https://www.anz.veolia.com/,Australia (services Melbourne),Melbourne metro / surrounds,Yes,Yes,Garden / organics streams,Melbourne & Australia,Customer experience team email from Veolia ANZ portals page; also call 13 29 55 | was: CoM waste providers list
41,ATLAST The Waste Network,1800 285 278,info@atlastwastenetwork.com.au,https://www.atlastwastenetwork.com.au/,Laverton North VIC 3026,Melbourne metro / surrounds,Yes,Yes,Check with company,Melbourne,Company website
42,Jim's Skip Bins,13 15 46,jimscontracts@jims.net,https://jimsskipbins.com.au/,"National office: 48 Edinburgh Rd, Mooroolbark VIC 3138",Melbourne metro / surrounds,Yes,Check with franchisee,Green waste skips,Melbourne suburbs (franchise network),Jim's Contracts / national office email; local franchisees may differ — also call 13 15 46 | was: Franchise model; local franchisees vary
43,Victorian Environmental Waste Services,1300 557 558,info@vicenvirowaste.com.au,https://www.vicenvirowaste.com.au/,"32 Calarco Drive, Derrimut VIC 3026",Melbourne metro / surrounds,Check with company,Yes,Organic recycling,Melbourne CBD & metro,Company website; CoM list
44,WaaRec Waste & Recycling,1300 922 732 / 0476 306 181,info@waarec.com.au,https://www.waarec.com.au/,"1/4 Geehi Way, Ravenhall VIC 3023; also Preston",Melbourne metro / surrounds,Check with company,Yes (240L–1100L),Food & organic waste,Melbourne,Company website; CoM list
45,Ikon Waste Solutions,1300 994 566,info@ikonservices.com.au,https://www.ikonservices.com.au/,Melbourne,Melbourne metro / surrounds,Yes (hook lift),Yes,Organics,Melbourne,Company / LinkedIn; CoM list
46,Atlas Recycling and Waste Solutions,1300 438 285 / 0433 201 586,info@atlasrecycling.com.au,https://atlasrecycling.com.au/,Melbourne VIC 3000,Melbourne metro / surrounds,General / construction waste,Yes,Check with company,Melbourne,Company contact; CoM list (Atlas Recycling)
47,Cleanway Environmental Services,03 8339 2858,adminm@cleanway.com.au,https://www.cleanway.com.au/,"43A Nathan Drive, Campbellfield VIC 3061; Laverton North",Melbourne metro / surrounds,Yes,Check with company,Check with company,Melbourne,Also sales@cleanway.com.au
48,Local Skip Bins Melbourne,0482 392 415,Not found publicly (call),https://localskipbinsmelbourne.com.au/,Melbourne metro (aggregator / local operators),Melbourne metro / surrounds,Yes,Check with company,Green waste skips,Metro Melbourne,Referral aggregator — no public email on site; phone 0482 392 415
49,Phoenix Environmental Waste,03 9670 4042,admin@phoenixwastecollection.com.au,https://www.phoenixwastecollection.com.au/,Melbourne,Melbourne metro / surrounds,Yes (listed under landfill),Check with company,Check with company,Melbourne,Company contact page; also phone 03 9670 4042 | was: City of Melbourne waste providers list
50,Australian Waste Management,1300 292 783,sales@awaste.com.au,https://www.australianwastemanagement.com.au/,"56 Paraweena Drive, Truganina VIC 3029",Melbourne metro / surrounds,Yes (listed),Yes (listed recycling streams),Check with company,Melbourne,Also known as AWASTE; Wyndham directory + company site | was: City of Melbourne waste providers list
51,Corio Waste Management,1300 267 4696,contactcentre@coriowm.com.au,https://www.coriowm.com.au/,"41-49 Wills Cres, Moolap VIC 3224 (also Altona North & Dandenong South)",Geelong / Melbourne West & SE,Yes (listed),Yes,Organics (listed),Geelong & Melbourne surrounds,"Also sales@coriowm.com.au; serves Geelong, Ballarat & Melbourne | was: CoM list (phone shown as 1300 267 4696 on CoM; verify digit count)"
52,SUEZ Recycling & Recovery (now part of Veolia/Suez brand),131 335,Not published (phone / form),https://www.suez.com.au/ (or Veolia channels),Melbourne / Australia,Melbourne metro / surrounds,Yes,Yes,Organics,Melbourne,Brand largely under Veolia; use 131 335 / Veolia channels; no separate public email found
53,Wayne Cleaning Systems,1300 723 232,info@waynecleaningsystems.com.au,https://www.waynecleaningsystems.com.au/,"147 Miller Street / 23 Taylor Street, Thornbury VIC; Waste depot 10 Wentworth Ct, Thomastown",Melbourne metro / surrounds,Listed provider,Yes (listed streams),Check with company,Melbourne,Company website contact | was: City of Melbourne waste providers list
54,Limitless Secure Recycling & Waste Solutions,1300 954 576,peter@limitlessrecycling.com.au,Search Limitless Secure Recycling Melbourne,"33 Malua Street, Reservoir VIC",Melbourne metro / surrounds,Listed provider,Yes (listed),Check with company,Melbourne,Recycling Near You directory listing | was: City of Melbourne waste providers list
55,Metro Recycling and Waste Management,0406 267 275,Not found publicly (call),Search Metro Recycling Waste Melbourne,Melbourne,Melbourne metro / surrounds,Yes (listed),Check with company,Check with company,Melbourne,No public email found; phone only 0406 267 275
56,Expert Demo,0452 458 909,estimatorvic@aldcorporate.com.au,https://www.expertdemo.com.au/,Melbourne,Melbourne metro / surrounds,Yes (construction waste),Check with company,Check with company,Melbourne,Expert Demo site lists ALD Corporate VIC estimator email — confirm before outreach; phone 0452 458 909 from CoM list | was: City of Melbourne construction waste providers
57,Revert Group,0416 416 224,Not found publicly (call),https://revertgroup.com.au/,Melbourne,Melbourne metro / surrounds,Yes (construction),Check with company,Check with company,Melbourne,No public email on site; phone 1300 307 450 / 0416 416 224 or online form — https://revertgroup.com.au/
58,Waste Ninja,1300 648 088,info@wasteninja.com.au,https://wasteninja.com.au/,"5A Connection Drive, Campbellfield VIC 3061",Melbourne metro / surrounds,Check with company,Check with company,Food organics (listed),Melbourne,Company contact page | was: City of Melbourne food organics providers
59,Kong Skip Bins,0403 225 624,reon@kongskipbins.com.au,https://kongskipbins.com.au/,"199 Bidges Road, Sutton ACT 2620",ACT (reference only — not VIC),Yes,Check with company,Check with company,Canberra / ACT (NOT Melbourne),"User example URL; appears Canberra-based, included for reference only"
60,Geelong All Bins,03 5277 1007,bookings@geelongallbins.com.au,https://geelongallbins.com.au/,"26-27 Nepean Close, North Geelong VIC 3215",Geelong / Bellarine,Yes,Check with company,Green waste accepted,"Greater Geelong, Torquay, Ocean Grove, Lara",EPA approved recycler; company website
61,SnapBin Hire,0408 521 806,info@snapbinhire.com.au,https://snapbinhire.com.au/,"Moolap, VIC",Geelong / Bellarine,Yes,Check with company,Check with company,Geelong,Company website
62,Bin Hire Geelong,03 5214 2709,info@binhiregeelong.com.au,https://binhiregeelong.com.au/,"Gheringhap St, Geelong VIC 3220",Geelong / Bellarine,Yes,Check with company,Check with company,Geelong region,Company website
63,Transformer Bin Hire (Geelong),03 4242 4759,northshorerecycling16@gmail.com,https://transformerbinhire.com.au/,Geelong VIC 3220,Geelong / Bellarine,Yes,Check with company,Check with company,Geelong,Also linked to North Shore Recycling
64,Skip Bin Hire Ballarat (Transformer),03 4313 4727,info@skipbinhireballarat.com.au,https://skipbinhireballarat.com.au/,Ballarat VIC 3350,Ballarat / Central Highlands,Yes,Check with company,Check with company,"Greater Ballarat, Wendouree, Daylesford, Sebastopol",Company website
65,Ballarat Budget Bin Hire,0417 358 734,budgetbinsballarat@bigpond.com,https://www.ballaratbudgetbin.com.au/,Ballarat VIC 3356,Ballarat / Central Highlands,Yes,Check with company,Check with company,"Ballarat, Daylesford, Ballan, Maryborough & surrounds",Company website
66,Ballarat Skip Hire,0435 763 433,phil@ballaratskiphire.com.au,https://ballaratskiphire.com.au/,Ballarat VIC,Ballarat / Central Highlands,Yes,Check with company,Check with company,Ballarat,Company website
67,Whitey's Skip Bins Bendigo,0417 870 824,Not found publicly (call),https://whiteysskipbins.com.au/,Bendigo VIC,Bendigo / Loddon,Yes,Check with company,Check with company,Bendigo,Company website — email not published
68,Budget Bins Bendigo,0448 811 291,Not found publicly (call / book online),https://www.budgetbinsbendigo.com.au/,Bendigo VIC,Bendigo / Loddon,Yes,Check with company,Green waste bins,Bendigo & Castlemaine,Company website
69,Bin Planet,0494 101 747,callum@binplanet.com.au,https://binplanet.com.au/,Bendigo / Victoria,Bendigo / statewide,Yes,Check with company,Check with company,"Bendigo, Melbourne, Yarra Valley & VIC",Company website
70,J.J. Richards — Bendigo East,03 5442 5378,operations.melbourne@jjswaste.com.au,https://jjrichards.com.au/,"5-11 Piper Lane, East Bendigo VIC 3550",Bendigo / Loddon,Yes,Yes,Check with company,Bendigo,JJ Richards regional depot
71,J.J. Richards — Ballarat,03 4436 6800,operations.bendigo@jjswaste.com.au,https://jjrichards.com.au/,"28 Grandlee Drive, Wendouree VIC 3355",Ballarat / Central Highlands,Yes,Yes,Check with company,Ballarat,JJ Richards regional depot
72,Payless Skips Mildura,0458 729 537,payless.skips@bigpond.com,https://www.paylessskips.com.au/,"PO Box 878, Merbein VIC 3505",Mildura / NW Victoria,Yes,Check with company,Green / landscaping waste,Mildura & surrounds,Company website
73,J.J. Richards — Mildura,03 5022 4100,operations.mildura@jjswaste.com.au,https://jjrichards.com.au/,"1 Silver City Hwy, Mourquong NSW 2739 (serves Mildura)",Mildura / NW Victoria,Yes,Yes,Check with company,Mildura region,JJ Richards regional depot
74,Delta Recycling — Latrobe Valley & Gippsland,03 5174 9821,recycling@deltagroup.com.au,https://www.deltarecycling.com.au/,"25 Hotham Street, Traralgon VIC 3844",Gippsland / Latrobe Valley,Yes (via Delta/SKIPZ network),Check with company,Check with company,Latrobe Valley & Gippsland,Also Melbourne Sunshine & Port Melbourne sites
75,Delta Recycling — Head Office / Port Melbourne,03 9646 8277,delta@deltagroup.com.au,https://www.deltarecycling.com.au/,"577 Plummer Street, Port Melbourne VIC 3207",Melbourne metro,Yes,Check with company,Check with company,Melbourne & VIC,Parent of SKIPZ network
76,Delta Recycling — Sunshine,03 9315 2555,recycling@deltagroup.com.au,https://www.deltarecycling.com.au/,"473 Somerville Road, Sunshine VIC 3020",Melbourne West,Yes,Check with company,Check with company,Melbourne West,Company contact page
77,Goulburn Valley Skip Hire,03 5827 1372,admin@gvskips.com.au,https://www.goulburnvalleyskiphire.com.au/,Shepparton VIC,Shepparton / Goulburn Valley,Yes,Check with company,Check with company,Shepparton & surrounds,Company website
78,Bins2u Shepparton,03 5823 2626,Not found publicly (call),https://bins2u.com.au/,Shepparton VIC,Shepparton / Goulburn Valley,Yes,Check with company,Check with company,Greater Shepparton & surrounds,Company website
79,Fast n Easy Skip Bin Hire,0415 515 536,fneskips@gmail.com,https://www.fneskips.com.au/,Greater Shepparton VIC,Shepparton / Goulburn Valley,Yes,Check with company,Check with company,"Shepparton, Kialla, Mooroopna, Tatura & more",Company website
80,Binit Skips Echuca,0437 724 646,hire@binitskips.com,https://binitskips.com/,Lockington / Echuca VIC,Echuca / Murray,Yes,Check with company,Check with company,"Echuca, Moama & surrounds",Company website
81,Naish Waste Wangaratta,03 5721 4714,Not found publicly (call),https://miniskips.net.au/skip-bins-waste-management-wangaratta-947/,Wangaratta VIC,NE Victoria / Wangaratta,Yes,Yes (front lift),Garden & green waste bins,"Wangaratta, Rutherglen, Beechworth, Benalla, Chiltern",Directory / Naish Waste listing
82,J.J. Richards — Wangaratta,03 5721 4714,admin.wodonga@jjswaste.com.au,https://jjrichards.com.au/,"13-15 Kerr Street, Wangaratta VIC 3678",NE Victoria / Wangaratta,Yes,Yes,Check with company,Wangaratta,JJ Richards regional depot
83,J.J. Richards — Wodonga,02 6056 3444,admin.wodonga@jjswaste.com.au,https://jjrichards.com.au/,"3 Bullock Court, Wodonga VIC 3690",Wodonga / Border,Yes,Yes,Check with company,Wodonga / Albury region,JJ Richards regional depot
84,Bartons Waste Collection,1800 012 212,info@bartonswaste.com,https://bartonswaste.com/,Warrnambool VIC,Warrnambool / SW Victoria,Yes,Check with company,Check with company,Warrnambool & surrounds,LinkedIn / company listing
85,Wheelie Waste,03 5562 0847 / 1800 999 690,admin@wheeliewaste.com.au,https://wheeliewaste.com.au/,Warrnambool / Allansford VIC,Warrnambool / SW Victoria,Yes (clean-up bins),Yes,Green waste,Warrnambool region / council services,Also councilrequests@wheeliewaste.com.au
86,Macc Waste Bin Hire,0499 881 099,info@maccwastebinhire.com.au,https://maccwastebinhire.com.au/,"8 Glenville Drive, Melton VIC 3337",Melbourne West / Melton,Yes,Check with company,Check with company,Melton / Melbourne West,Company contact page
87,Huss Industries (Huss Waste),0450 035 035,info@husswaste.com.au,https://husswaste.com.au/,"10 Dib Ct, Tullamarine VIC 3043",Melbourne North / Tullamarine,Yes,Check with company,Check with company,Most of Melbourne,Company website
88,Cheap Bin Hire & Recycling,0414 401 111,info@cheapbinhire.com.au,https://cheapbinhire.com.au/,Ravenhall VIC,Melbourne West,Yes,Check with company,Check with company,Melbourne,LinkedIn / company site
89,D.C. Waste Management,03 9308 5488,accounts@dcwaste.com.au,https://www.dcwaste.com.au/,"189 Northbourne Road, Campbellfield VIC 3061",Melbourne North,Yes,Check with company,Check with company,Melbourne,Company site (also linked Bison Demolition mail@bisondemolitiongroup.com.au)
90,Rubbish Skip Hire (RSH),1300 300 565,info@rubbishskiphire.com.au,https://www.rubbishskiphire.com.au/,"39 Salvator Dr, Campbellfield VIC 3061",Melbourne North,Yes,Check with company,Green waste,Melbourne,Company website
91,Ascot Bin Hire (Sycle),0417 531 009,info@sycle.com.au,https://ascotbinhire.com.au/,"2 Tube Street, Sunshine North VIC 3020",Melbourne West,Yes,Check with company,Check with company,Melbourne metro,Now part of Sycle; accounts 03 9312 2991
92,Sycle,0417 531 009,info@sycle.com.au,https://sycle.com.au/,Sunshine North / Avalon / Fyansford VIC,Melbourne / Geelong,Yes,Check with company,Check with company,Melbourne & Geelong (Fyansford/Avalon hubs),Resource recovery + Ascot Bin Hire
93,SKIPBINEXPERTS,0404 039 988,skipbinexperts@gmail.com,https://skipbinexperts.com.au/,Frankston / Melbourne suburbs,Frankston / SE Melbourne,Yes,Check with company,Garden waste,Frankston & Melbourne suburbs,Company website
94,Local Skip Bin Hire,1300 778 978,info@localskipbinhire.com,https://www.localskipbinhire.com/,National platform (AU); services VIC postcodes,Victoria (multi-region platform),Yes,Check with company,Check with company,"Frankston, Mornington Peninsula & VIC postcodes",Comparison/booking platform — Always You Pty Ltd
95,Aussi Skips,0429 086 219,info@aussieskips.com.au,https://aussiskips.com.au/,Melbourne VIC,Melbourne metro,Yes,Check with company,Check with company,Melbourne,Also info@aussiskips.com.au
96,Solo Resource Recovery,1300 467 656,Not found publicly (call / form),https://solo.com.au/,Australia (services Victoria),Victoria / national,Yes,Yes,Organics often available,Victoria & national,Major waste operator; verify VIC desk
97,REMONDIS Australia,1300 073 666,Not found publicly (call / form),https://remondis.com.au/,Australia (services Victoria),Victoria / national,Yes,Yes,Organics often available,Victoria & national,Major waste operator; verify local VIC contact
98,BookaBin (Victoria network),See site / supplier network,Not published (online booking),https://www.bookabin.com.au/victoria-skip-bins.aspx,National skip bin booking network,Victoria (multi-region platform),Yes,No / N/A,Via suppliers,Victoria postcodes via supplier network,Marketplace connecting to local skip suppliers
99,Visy Recycling,1300 368 479,Not found publicly (call),https://www.visy.com.au/,Australia (major VIC operations),Victoria / national,Check with company,Yes (recycling streams),Check with company,Victoria / national,City of Melbourne paper/cardboard providers list
100,Iron Mountain (secure destruction),1300 476 668,Not found publicly (call),https://www.ironmountain.com/au,Australia,Melbourne / Victoria,No / N/A,Secure destruction collections,No,Melbourne / VIC,CoM mixed recycling list — secure docs focus
101,Shred-X Secure Destruction,1300 747 339,Not found publicly (call),https://www.shred-x.com.au/,Australia,Melbourne / Victoria,No / N/A,Secure destruction,No,Melbourne / VIC,CoM secure destruction providers
102,Organic Matters Environmental Services,0403 320 580,Not found publicly (call),Search Organic Matters Environmental Melbourne,Melbourne VIC,Melbourne metro,Check with company,Organics collections,Food organics,Melbourne,City of Melbourne food organics providers
