No.,Company Name,Phone,Email,Website,Address / Location,Skip Bin Hire,Rearlift / Wheelie Bins,Garden Bags / Skip Bags,Service Area,Notes / Source
19,ASAP Bin Hire,0452 271 006,infor@asapbinhire.com.au,https://asapbinhire.com.au/,"5/199 Liverpool Road, Kilsyth VIC 3137; also Dandenong South",Yes,Check with company,Check with company,East & SE Melbourne,Company contact page (email as published)
20,Fieldmans Waste Management,03 9768 3967,admin@fieldmanswaste.com.au,https://fieldmanswaste.com.au/,"33-37 Granito Crt, Dandenong South VIC 3175",Yes,Check with company,Garden waste disposal offered,Melbourne,Company contact page
21,Eastern Recycling (ER Bin Hire),03 8872 7879,Not found publicly (call office),https://www.easternrecycling.com.au/,"22 Palmerston Road West, Ringwood VIC 3134",Yes,Check with company,Check with company,~15km radius of Ringwood,Company website
22,Premier Waste Management,1300 219 001,Not published (online form / phone),https://premierwaste.com.au/,"10-12 Graham Daff Boulevard, Braeside VIC 3195; also Broadmeadows",Yes (hooklift),Yes,Organics / food organics,Melbourne & Brisbane,Company site; CoM waste providers list
23,Simplex Waste Solutions,1300 052 334,enquiries@simplexwastesolutions.com,https://www.simplexwastesolutions.com.au/,"1/72-74 Lambeck Drive, Tullamarine VIC 3043",Yes,Yes,Check with company,Melbourne (also Sydney/Brisbane/Adelaide),Also admin@simplexwastesolutions.com; CoM list
24,Rhino Bins,03 9580 4842,enquiries@rhinobins.com.au,https://www.rhinobins.com.au/,"24-30 Fonceca St, Mordialloc VIC 3195",Yes,Yes (240L / 660L commercial),Check with company,All Melbourne (conditions apply),Company website; CoM list
25,Haulaway Services,1300 660 838,info@haulaway.com.au,https://haulaway.com.au/,Melbourne (Williamstown North / Dandenong South),Yes,Yes (commercial),Check with company,Melbourne,LinkedIn / CoM list
26,Speedie Waste & Recycle,03 9305 2265,sales@speediewaste.com.au,https://www.speediewaste.com.au/,"1505 Hume Highway, Campbellfield VIC 3061",Yes,Yes,Organics available,Melbourne & Geelong,Also bookings@speediewaste.com.au; CoM list
27,Bin Boy Environmental,1800 246 269,info@binboy.com.au,https://www.binboy.com.au/,"7 Patch Circuit, Laverton North VIC 3026",Check with company,Yes (collections),Check with company,Metro Melbourne & beyond,Also service@binboy.com.au; CoM list
28,Happy Sacks,03 9749 7700 / 0425 741 427,happysacks@live.com.au,https://www.happysacks.com.au/,"Western suburbs, Melbourne VIC",Yes,Yes (wheelie bins),Garden tidy / green focus,Western suburbs Melbourne,Company website; CoM list
29,Inner City Waste,03 9824 1975,Not found publicly (call),http://innercitywaste.com.au/,Inner city / CBD Melbourne,Yes,Check with company,Check with company,Inner city & CBD,Company website; CoM list
30,KS Environmental,03 9551 7833,sales@ksenvironmental.com.au,https://ksenvironmental.com.au/,"544 Boundary Rd, Dingley VIC 3172",Commercial waste services,Yes (commercial),Organics (commercial),Melbourne Metro (commercial only),Company contact page; CoM list
31,M Tucker & Sons,03 9736 3439,mail@mtuckerandsons.com.au,https://mtuckerandsons.com.au/,"4 Clancys Road, Mount Evelyn VIC 3796",Yes,Check with company,Check with company,Outer east Melbourne / surrounds,Company contact page
32,CSC Waste & Recycling,1300 499 927,info@cscwaste.com.au,https://cscwaste.com.au/,"28 Sunline Drive, Truganina VIC 3029",Yes,Yes,Check with company,Melbourne metro,Also sales@cscwaste.com.au; CoM list
33,Elite Waste & Recycling,03 5998 7227,sales@eliterecycling.com.au,https://elitewasteandrecycling.com.au/,"22-30 Remington Drive, Dandenong South VIC 3175",Check with company,Yes (scheduled collections),Check with company,East & SE Melbourne,Company contact page; CoM list (Elite Recycling)
34,Waste Wise Environmental,1300 550 408,Not published (contact form),https://wastewise.com.au/,"152 Mahoneys Road, Thomastown VIC 3074",Check with company,Yes (commercial),Organics available,Melbourne,Company contact page; CoM list
35,Blue Croc Rubbish (CROC BAGS),1300 71 81 92,info@bluecrocgroup.com.au,https://bluecrocrubbishremoval.com.au/,Mornington Peninsula / Melbourne metro,Yes (bags alternative),No / N/A,Yes – garden waste bags,Melbourne metro,Croc Bags garden & general; company about page
36,Aussie Skip Bags,1300 586 548,Not published (online booking / form),https://aussieskipbags.com.au/,Services Melbourne metro (bags via Bunnings),Skip bag alternative,No / N/A,Yes – garden & general skip bags,All Melbourne metro,Also collects Croc Bags; company site
37,Total Waste Solutions,03 9555 1970,totalwaste@y7mail.com,https://www.totalwastesolutions.com.au/,"PO BOX 355, Bentleigh VIC 3204",Yes,Yes (MGBs),Check with company,Bayside & Melbourne,Company website; CoM list
38,Wanless,1300 926 537,sales@wanless.com.au,https://wanless.com.au/,National operator (services Melbourne),Yes,Yes,Organics available,Australia incl. Melbourne,Company contact page
39,Cleanaway Skips,13 13 39,Not published (online enquiry form),https://www.cleanaway.com.au/,"Melbourne HO: Level 4, 441 St Kilda Road, Melbourne VIC 3004",Yes,Yes,Organics available,Melbourne & Australia,Melbourne office (03) 8397 5100; CoM list
40,Veolia Environmental Services,13 29 55,Not published (online enquiry form),https://www.anz.veolia.com/,Australia (services Melbourne),Yes,Yes,Garden / organics streams,Melbourne & Australia,CoM waste providers list
41,ATLAST The Waste Network,1800 285 278,info@atlastwastenetwork.com.au,https://www.atlastwastenetwork.com.au/,Laverton North VIC 3026,Yes,Yes,Check with company,Melbourne,Company website
42,Jim's Skip Bins,13 15 46,Not published nationally (franchise local),https://jimsskipbins.com.au/,"National office: 48 Edinburgh Rd, Mooroolbark VIC 3138",Yes,Check with franchisee,Green waste skips,Melbourne suburbs (franchise network),Franchise model; local franchisees vary
43,Victorian Environmental Waste Services,1300 557 558,info@vicenvirowaste.com.au,https://www.vicenvirowaste.com.au/,"32 Calarco Drive, Derrimut VIC 3026",Check with company,Yes,Organic recycling,Melbourne CBD & metro,Company website; CoM list
44,WaaRec Waste & Recycling,1300 922 732 / 0476 306 181,info@waarec.com.au,https://www.waarec.com.au/,"1/4 Geehi Way, Ravenhall VIC 3023; also Preston",Check with company,Yes (240L–1100L),Food & organic waste,Melbourne,Company website; CoM list
45,Ikon Waste Solutions,1300 994 566,info@ikonservices.com.au,https://www.ikonservices.com.au/,Melbourne,Yes (hook lift),Yes,Organics,Melbourne,Company / LinkedIn; CoM list
46,Atlas Recycling and Waste Solutions,1300 438 285 / 0433 201 586,info@atlasrecycling.com.au,https://atlasrecycling.com.au/,Melbourne VIC 3000,General / construction waste,Yes,Check with company,Melbourne,Company contact; CoM list (Atlas Recycling)
47,Cleanway Environmental Services,03 8339 2858,adminm@cleanway.com.au,https://www.cleanway.com.au/,"43A Nathan Drive, Campbellfield VIC 3061; Laverton North",Yes,Check with company,Check with company,Melbourne,Also sales@cleanway.com.au
48,Local Skip Bins Melbourne,0482 392 415,Not found publicly (call),https://localskipbinsmelbourne.com.au/,Melbourne metro (aggregator / local operators),Yes,Check with company,Green waste skips,Metro Melbourne,Connects to local operators
49,Phoenix Environmental Waste,03 9670 4042,Not found publicly (call),Search company name + Melbourne,Melbourne,Yes (listed under landfill),Check with company,Check with company,Melbourne,City of Melbourne waste providers list
50,Australian Waste Management,1300 292 783,Not found publicly (call),Search company name + Melbourne,Melbourne,Yes (listed),Yes (listed recycling streams),Check with company,Melbourne,City of Melbourne waste providers list
51,Corio Waste Management,1300 267 469,Not found publicly (call),Search company name + Geelong/Melbourne,Geelong / Melbourne region,Yes (listed),Yes,Organics (listed),Geelong & Melbourne surrounds,CoM list (phone shown as 1300 267 4696 on CoM; verify digit count)
52,SUEZ Recycling & Recovery (now part of Veolia/Suez brand),131 335,Not published (phone / form),https://www.suez.com.au/ (or Veolia channels),Melbourne / Australia,Yes,Yes,Organics,Melbourne,City of Melbourne waste providers list
53,Wayne Cleaning Systems,1300 723 232,Not found publicly (call),Search Wayne Cleaning Systems waste Melbourne,Melbourne,Listed provider,Yes (listed streams),Check with company,Melbourne,City of Melbourne waste providers list
54,Limitless Secure Recycling & Waste Solutions,1300 954 576,Not found publicly (call),Search Limitless Secure Recycling Melbourne,Melbourne,Listed provider,Yes (listed),Check with company,Melbourne,City of Melbourne waste providers list
55,Metro Recycling and Waste Management,0406 267 275,Not found publicly (call),Search Metro Recycling Waste Melbourne,Melbourne,Yes (listed),Check with company,Check with company,Melbourne,City of Melbourne waste providers list
56,Expert Demo,0452 458 909,Not found publicly (call),Search Expert Demo waste Melbourne,Melbourne,Yes (construction waste),Check with company,Check with company,Melbourne,City of Melbourne construction waste providers
57,Revert Group,0416 416 224,Not found publicly (call),Search Revert Group Melbourne waste,Melbourne,Yes (construction),Check with company,Check with company,Melbourne,City of Melbourne construction waste providers
58,Waste Ninja,1300 648 088,Not found publicly (call),Search Waste Ninja Melbourne,Melbourne,Check with company,Check with company,Food organics (listed),Melbourne,City of Melbourne food organics providers
59,Kong Skip Bins,0403 225 624,reon@kongskipbins.com.au,https://kongskipbins.com.au/,"199 Bidges Road, Sutton ACT 2620",Yes,Check with company,Check with company,Canberra / ACT (NOT Melbourne),"User example URL; appears Canberra-based, included for reference only"
